HC_ID,Date,date,month,day,year,proposal,status_result,text,Link,article_source_id,status_extra,From,from_name,from_latitude,from_longitude,from_adm1_code_full,from_adm1_nr,from_adm1_name,from_country_code,To,to_name,to_latitude,to_longitude,to_adm1_code_full,to_adm1_nr,to_adm1_name,to_country_code
1,05.03.22,2022-03-05,3,5,2022,Agreed,disputed,"Status: disputed; MOSCOW. March 5 (Interfax) - Russian forces have declared the opening of humanitarian passages at 10 a.m. Moscow time on Saturday and a ceasefire that would enable civilians to leave Mariupol and Volnovakha. ""Humanitarian passages and exit routes have been coordinated with the Ukrainian side,"" the ministry said. ;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has said he can confirm that a ceasefire has been agreed to facilitate the evacuation of residents of Volnovakha and Mariupol starting 9:00 a.m. Kyiv Time (10:00 a.m. Moscow Time). ;;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has announced the establishment of a ceasefire from 9:00 a.m. to 4:00 p.m. Kyiv Time (10:00 a.m. to 17:00 a.m. Moscow Time), with the evacuation of civilians from Mariupol starting at 11:00 a.m. Kyiv Time.""Officially. A humanitarian corridor has been established along the following route: Mariupol - Mykilske - Rozivka - Polohy - Orikhiv - Zaporizhzhya,"" Kyrylenko wrote on his Telegram channel on Saturday morning. KYIV. March 5 (Interfax-Ukraine) - Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk has announced the establishment of a humanitarian corridor from Volnovakha and Mariupol to evacuate local civilians.
 ""Via the International Committee of the Red Cross's (ICRC) mediation, we agreed upon the routes, the movement of a column, and a plan for the delivery of humanitarian cargo, and we have obtained confirmation from the Russian side,"" Vereshchuk said at a press briefing on Saturday.
 Ukraine plans to evacuate over 200,000 people along the Mariupol - Mykilske - Rozivka - Bilmak - Polohe - Orikhiv - Zaporizhzhya route and over 15,000 people along the Volnovakha - Valeryanivka - Novoandriyivka - Kyrylivka - Vuhledar - Pokrovsk - Zaporizhzhya route, Vereshchuk said.
 The ICRC is acting as a guarantor of the ceasefire during the evacuation, Vereshchuk said.  see source: https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79069,src-64,disputed,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
2,05.03.22,2022-03-05,3,5,2022,Agreed,disputed,"Status: disputed; MOSCOW. March 5 (Interfax) - Russian forces have declared the opening of humanitarian passages at 10 a.m. Moscow time on Saturday and a ceasefire that would enable civilians to leave Mariupol and Volnovakha. ""Humanitarian passages and exit routes have been coordinated with the Ukrainian side,"" the ministry said. ;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has said he can confirm that a ceasefire has been agreed to facilitate the evacuation of residents of Volnovakha and Mariupol starting 9:00 a.m. Kyiv Time (10:00 a.m. Moscow Time). ;;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has announced the establishment of a ceasefire from 9:00 a.m. to 4:00 p.m. Kyiv Time (10:00 a.m. to 17:00 a.m. Moscow Time), with the evacuation of civilians from Mariupol starting at 11:00 a.m. Kyiv Time.""Officially. A humanitarian corridor has been established along the following route: Mariupol - Mykilske - Rozivka - Polohy - Orikhiv - Zaporizhzhya,"" Kyrylenko wrote on his Telegram channel on Saturday morning. KYIV. March 5 (Interfax-Ukraine) - Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk has announced the establishment of a humanitarian corridor from Volnovakha and Mariupol to evacuate local civilians.
 ""Via the International Committee of the Red Cross's (ICRC) mediation, we agreed upon the routes, the movement of a column, and a plan for the delivery of humanitarian cargo, and we have obtained confirmation from the Russian side,"" Vereshchuk said at a press briefing on Saturday.
 Ukraine plans to evacuate over 200,000 people along the Mariupol - Mykilske - Rozivka - Bilmak - Polohe - Orikhiv - Zaporizhzhya route and over 15,000 people along the Volnovakha - Valeryanivka - Novoandriyivka - Kyrylivka - Vuhledar - Pokrovsk - Zaporizhzhya route, Vereshchuk said.
 The ICRC is acting as a guarantor of the ceasefire during the evacuation, Vereshchuk said.  see source: https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79070",https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79070,src-208,disputed,Volnovakha,Volnovakha,47.60103,37.49674,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
5,07.03.22,2022-03-07,3,7,2022,Russia,proposed route/outcome unknown,"Status: proposed route/outcome unknown; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75822/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75842/?sphrase_id=79069 ;;; https://inews.co.uk/news/what-is-humanitarian-corridor-meaning-why-putin-offering-evacuate-ukraine-russia-belarus-1501680?ico=in-line_link",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75822/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75842/?sphrase_id=79069 ;;; https://inews.co.uk/news/what-is-humanitarian-corridor-meaning-why-putin-offering-evacuate-ukraine-russia-belarus-1501680?ico=in-line_link,src-174,proposed route/outcome unknown,Kyiv,Kyiv,50.45466,30.5238,UA.12,12,Kyiv City,UA,Gomel (Belarus) to be transfered to Russia by air,,52.43652,30.96949,,,,BY
6,07.03.22,2022-03-07,3,7,2022,Russia,disputed,"Status: disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,disputed,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,"Rostov-on-Don, from where people would be transported by air, by train, or by bus to planned destinations or temporary accommodation centers",,47.23333,39.7,,,,RU
7,07.03.22,2022-03-07,3,7,2022,Russia,disputed,"Status: disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,disputed,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
8,07.03.22,2022-03-07,3,7,2022,Russia,disputed,"Status: disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,disputed,Kharkiv,Kharkiv,49.98081,36.25272,UA.07,7,Kharkiv,UA,"Belgorod, from where they would be transported by air, by train, or by bus to planned destinations or temporary accommodation centers",,50.61074,36.58015,,,,RU
9,07.03.22,2022-03-07,3,7,2022,Russia,disputed,"Status: disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,disputed,Sumy,Sumy,50.9216,34.80029,UA.21,21,Sumy,UA,"Belgorod, from where people would be transported by air, by train, or by bus to planned destinations or temporary accommodation centers",,50.61074,36.58015,,,,RU
10,07.03.22,2022-03-07,3,7,2022,Russia,disputed,"Status: disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,disputed,Sumy,Sumy,50.9216,34.80029,UA.21,21,Sumy,UA,Poltava,Poltava,49.62417,38.12374,UA.14,14,Luhansk,UA
16,09.03.22,2022-03-09,3,9,2022,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; MOSCOW. March 8 (Interfax) - Russia will declare a temporary ceasefire on Wednesday to provide for the functioning of humanitarian corridors from Kyiv, Chernihiv, Sumy, Kharkiv, and Mariupol, the Russian interagency humanitarian response coordination staff in Ukraine said in a statement. ;;;; KYIV. March 9 (Interfax-Ukraine) - The availability of the Sumy-Poltava humanitarian corridor was extended on Wednesday, head of the Sumy regional state administration Dmytro Zhivitsky said. ""The team of negotiators was working through the night, and the availability of a humanitarian passage from Sumy to Poltava was extended today, on March 9, 2022, from 9 a.m. to 9 p.m.,"" Zhivitsky said on Telegram on Wednesday. ""You can use your own vehicles. Besides, at about 2 p.m., we will bring back 22 buses from Poltava to Sumy; the buses formed the first convoy yesterday. They will be available to pregnant women, women with children, senior citizens, and people with disabilities,"" he said. ;;;; Russia offers Wednesday cease-fire for humanitarian corridors
 The Russian military said it would offer a cease-fire starting at 10 a.m. local time (0700 UTC) Wednesday to allow civilians to escape from four Ukrainian cities, according to Russia's TASS news agency. 
 A senior military official told TASS that information about humanitarian corridors from Kyiv, Chernihiv, Sumy, Kharkiv and Mariupol would be sent to Ukrainian Deputy Prime Minister Iryna Vereshchuk.
 Ukraine has yet to respond to the offer. 
 Similar attempts to enable safe evacuation of civilians have been only partially successful, with allegations of shelling on some routes, disputes over the routes themselves, and other complications.  see source: https://interfax.com/newsroom/top-stories/75969/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75987/?sphrase_id=79069 ;;; https://www.dw.com/en/ukraine-civilian-evacuation-efforts-hampered-by-continued-fighting-as-it-happened/a-61046457",https://interfax.com/newsroom/top-stories/75969/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75987/?sphrase_id=79069 ;;; https://www.dw.com/en/ukraine-civilian-evacuation-efforts-hampered-by-continued-fighting-as-it-happened/a-61046457,src-175,proposed route/outcome unknown,Sumy,Sumy,50.9216,34.80029,UA.21,21,Sumy,UA,Poltava,Poltava,49.62417,38.12374,UA.14,14,Luhansk,UA
17,09.03.22,2022-03-09,3,9,2022,Russia,proposed route/outcome unknown,"Status: proposed route/outcome unknown; MOSCOW. March 8 (Interfax) - Russia will declare a temporary ceasefire on Wednesday to provide for the functioning of humanitarian corridors from Kyiv, Chernihiv, Sumy, Kharkiv, and Mariupol, the Russian interagency humanitarian response coordination staff in Ukraine said in a statement. ;;;; KYIV. March 9 (Interfax-Ukraine) - The availability of the Sumy-Poltava humanitarian corridor was extended on Wednesday, head of the Sumy regional state administration Dmytro Zhivitsky said. ""The team of negotiators was working through the night, and the availability of a humanitarian passage from Sumy to Poltava was extended today, on March 9, 2022, from 9 a.m. to 9 p.m.,"" Zhivitsky said on Telegram on Wednesday. ""You can use your own vehicles. Besides, at about 2 p.m., we will bring back 22 buses from Poltava to Sumy; the buses formed the first convoy yesterday. They will be available to pregnant women, women with children, senior citizens, and people with disabilities,"" he said. ;;;; Russia offers Wednesday cease-fire for humanitarian corridors
 The Russian military said it would offer a cease-fire starting at 10 a.m. local time (0700 UTC) Wednesday to allow civilians to escape from four Ukrainian cities, according to Russia's TASS news agency. 
 A senior military official told TASS that information about humanitarian corridors from Kyiv, Chernihiv, Sumy, Kharkiv and Mariupol would be sent to Ukrainian Deputy Prime Minister Iryna Vereshchuk.
 Ukraine has yet to respond to the offer. 
 Similar attempts to enable safe evacuation of civilians have been only partially successful, with allegations of shelling on some routes, disputes over the routes themselves, and other complications.  see source: https://interfax.com/newsroom/top-stories/75969/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75969/?sphrase_id=79069,src-10,proposed route/outcome unknown,Kharkiv,Kharkiv,49.98081,36.25272,UA.07,7,Kharkiv,UA,Lviv,Lviv,47.8922,31.09156,UA.16,16,Mykolayiv Oblast,UA
