id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
147997,UKR-2014-1-14085-0,2014,true,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,5,"""Agence France Presse,2014-01-22,Police disperse Kiev protest, activists say one shot dead"";""Agence France Presse,2014-01-22,Two activists shot dead during Ukraine protests: prosecutors sjw/ma/dh"";""Agence France Presse,2014-01-22,Two shot dead as Ukraine police storm Kiev protest"";""Agence France Presse,2014-01-22,Five dead as Ukraine police launch assault on protesters"";""Agence France Presse,2014-01-25,One more Ukrainian protester dies of wounds in hospital: official""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse,2014-01-22;2014-01-22;2014-01-22;2014-01-22;2014-01-25,"Police disperse Kiev protest, activists say one shot dead;Two activists shot dead during Ukraine protests: prosecutors sjw/ma/dh;Two shot dead as Ukraine police storm Kiev protest;Five dead as Ukraine police launch assault on protesters;One more Ukrainian protester dies of wounds in hospital: official","Maidan protesters, General Prosecutor of Ukraine",1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,,50.45,30.52333,POINT (30.52333 50.45),202022,Ukraine,369,Europe,1,1,2014-01-22T00:00:00,2014-01-22T00:00:00,0,5,0,0,5,5,5,369,
149221,UKR-2014-1-14085-1,2014,true,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,1,"""Reuters News,2014-01-27,Dead man found hanging on Kiev's Independence Square - police""",Reuters News,2014-01-27,Dead man found hanging on Kiev's Independence Square - police, Ukrainian police,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,,50.45,30.52333,POINT (30.52333 50.45),202022,Ukraine,369,Europe,1,1,2014-01-27T00:00:00,2014-01-27T00:00:00,0,0,0,1,1,1,1,369,
149248,UKR-2014-1-14085-3,2014,true,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,9,"""Reuters News,2014-02-18,UKRAINE PARLIAMENTARY DEPUTY SAYS ON FACEBOOK THAT THREE DEAD BODIES OF PROTESTERS ARE IN A BUILDING CLOSE TO PARLIAMENT"";""Reuters Pictures,2014-02-19,A wounded person lies on the ground after clashes in central Kiev"";""Reuters News,2014-02-18,Ukraine police battle protesters after nation's bloodiest day"";""Agence France Presse,2014-02-19,Four protesters killed in police assault on Kiev camp: opposition"";""Associated Press Newswires,2014-02-19,Biden urges Ukraine gov't to show restraint"";""Reuters News,2014-02-20,WRAPUP 2-Ukraine president agrees truce with opponents as U.S. imposes visa bans"";""Reuters News,2014-02-19,Ukraine must keep its military away from protests, Pentagon says"";""Agence France Presse,2014-02-19,Two days of bloody unrest in Ukraine"";""Agence France Presse,2014-02-19,Two days of bloody unrest in Ukraine""",Reuters News;Reuters Pictures;Reuters News;Agence France Presse;Associated Press Newswires;Reuters News;Reuters News;Agence France Presse;Agence France Presse,2014-02-18;2014-02-19;2014-02-18;2014-02-19;2014-02-19;2014-02-20;2014-02-19;2014-02-19;2014-02-19,"UKRAINE PARLIAMENTARY DEPUTY SAYS ON FACEBOOK THAT THREE DEAD BODIES OF PROTESTERS ARE IN A BUILDING CLOSE TO PARLIAMENT;A wounded person lies on the ground after clashes in central Kiev;Ukraine police battle protesters after nation's bloodiest day;Four protesters killed in police assault on Kiev camp: opposition;Biden urges Ukraine gov't to show restraint;WRAPUP 2-Ukraine president agrees truce with opponents as U.S. imposes visa bans;Ukraine must keep its military away from protests, Pentagon says;Two days of bloody unrest in Ukraine;Two days of bloody unrest in Ukraine","Maidan representatives, police, news correspondents reporting from the site of the events, officials",1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,,50.45,30.52333,POINT (30.52333 50.45),202022,Ukraine,369,Europe,1,1,2014-02-18T00:00:00,2014-02-18T00:00:00,10,4,0,12,26,26,26,369,
149249,UKR-2014-1-14085-4,2014,true,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,1,"""Agence France Presse,2014-02-20,Ukraine death toll rises to 28: ministry""",Agence France Presse,2014-02-20,Ukraine death toll rises to 28: ministry,Ukraine's health ministry,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,,50.45,30.52333,POINT (30.52333 50.45),202022,Ukraine,369,Europe,2,2,2014-02-18T00:00:00,2014-02-20T00:00:00,0,0,0,2,2,2,2,369,
149250,UKR-2014-1-14085-5,2014,true,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,8,"""Agence France Presse,2014-02-21,Ukraine rivals sign deal to end crisis"";""Agence France Presse,2014-02-21,Three days of deadly unrest in Ukraine"";""ITAR-TASS World Service,2014-02-20,Two police commandoes die in fire at riot police base in Ukraine’s Lvov"";""Agence France Presse,2014-02-20,At least 67 killed in this week's Kiev clashes: authorities"";""Agence France Presse,2014-02-20,Dozens dead on Ukraine's deadliest day"";""Reuters News,2014-02-20,WRAPUP 9-Ukraine truce shattered, death toll hits 67"";""ITAR-TASS World Service,2014-02-20,WRAP: Death toll in Kiev clashes rises to 35 - Ukraine Health Ministry"";""BBC News,2014-04-03,Special police shot Kiev protesters, inquiry says""",Agence France Presse;Agence France Presse;ITAR-TASS World Service;Agence France Presse;Agence France Presse;Reuters News;ITAR-TASS World Service;BBC News,2014-02-21;2014-02-21;2014-02-20;2014-02-20;2014-02-20;2014-02-20;2014-02-20;2014-04-03,"Ukraine rivals sign deal to end crisis;Three days of deadly unrest in Ukraine;Two police commandoes die in fire at riot police base in Ukraine’s Lvov;At least 67 killed in this week's Kiev clashes: authorities;Dozens dead on Ukraine's deadliest day;WRAPUP 9-Ukraine truce shattered, death toll hits 67;WRAP: Death toll in Kiev clashes rises to 35 - Ukraine Health Ministry;Special police shot Kiev protesters, inquiry says","Maidan, police, city hall, reporters transmitting from the site, Ministry of health, new authorities",1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,,50.45,30.52333,POINT (30.52333 50.45),202022,Ukraine,369,Europe,1,1,2014-02-20T00:00:00,2014-02-20T00:00:00,2,46,0,0,48,67,48,369,
149251,UKR-2014-1-14085-6,2014,true,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,1,"""Reuters News,2014-02-22,WRAPUP 9-Ukraine parliament removes Yanukovich, who flees Kiev in ""coup""""",Reuters News,2014-02-22,"WRAPUP 9-Ukraine parliament removes Yanukovich, who flees Kiev in ""coup""",,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,,50.45,30.52333,POINT (30.52333 50.45),202022,Ukraine,369,Europe,2,2,2014-02-18T00:00:00,2014-02-21T00:00:00,0,0,0,6,6,6,6,369,
149866,UKR-2014-1-14124-0,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,3,"""Reuters News,2014-04-13,One Ukrainian state security officer killed, 5 others wounded - interior minister"";""Agence France Presse,2014-04-13,Ukraine in bloody battle to oust pro-Russian gunmen"";""MemoryBook,2021-04-27,Slavyansk""",Reuters News;Agence France Presse;MemoryBook,2014-04-13;2014-04-13;2021-04-27,"One Ukrainian state security officer killed, 5 others wounded - interior minister;Ukraine in bloody battle to oust pro-Russian gunmen;Slavyansk",Ukraine interior minister; MemoryBook,1,Sloviansk town,Sloviansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,POINT (37.625 48.853333),199876,Ukraine,369,Europe,1,1,2014-04-13T00:00:00,2014-04-13T00:00:00,1,2,0,0,3,3,3,369,
149868,UKR-2014-1-14124-1,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,1,"""Agence France Presse,2014-04-13,Ukraine in bloody battle to oust pro-Russian gunmen""",Agence France Presse,2014-04-13,Ukraine in bloody battle to oust pro-Russian gunmen,Donetsk People's Republic spokesmen,5,M03 road between Sloviansk and Artemivsk town,stretch of the road connecting Slavyansk and the town of Artemivsk,Donetsk oblast,,48.776492,37.778737,POINT (37.778737 48.776492),199876,Ukraine,369,Europe,1,1,2014-04-13T00:00:00,2014-04-13T00:00:00,0,0,0,1,1,1,1,369,
149876,UKR-2014-1-14124-2,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,3,"""Agence France Presse,2014-04-17,Ukraine troops kill 3 assailants storming eastern base"";""Agence France Presse,2014-04-17,Ukraine troops kill pro-Russia militants ahead of key talks"";""Reuters News,2014-04-17,Casualty numbers used as a weapon in Ukraine crisis""",Agence France Presse;Agence France Presse;Reuters News,2014-04-17;2014-04-17;2014-04-17,Ukraine troops kill 3 assailants storming eastern base;Ukraine troops kill pro-Russia militants ahead of key talks;Casualty numbers used as a weapon in Ukraine crisis,Interior Minister Arsen Avakov,1,Mariupol town,Mariupol town,Donetsk oblast,Mariupol City municipality,47.095833,37.549444,POINT (37.549444 47.095833),197716,Ukraine,369,Europe,1,2,2014-04-16T00:00:00,2014-04-17T00:00:00,0,3,0,0,3,3,3,369,
149879,UKR-2014-1-14124-3,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,2,"""Kyiv Post,2014-04-16,Ukrainian troops in control of Donetsk Oblast's Kramatorsk airfield, Ukrainian deputy prime minister says several hundred Russian troops in Ukraine"";""Reuters News,2014-04-17,Casualty numbers used as a weapon in Ukraine crisis""",Kyiv Post;Reuters News,2014-04-16;2014-04-17,"Ukrainian troops in control of Donetsk Oblast's Kramatorsk airfield, Ukrainian deputy prime minister says several hundred Russian troops in Ukraine;Casualty numbers used as a weapon in Ukraine crisis","Hospital officials, Russian officials, Ukrainian officials, insurgents",1,Kramatorsk airfield,Kramatorsk airfield,Donetsk oblast,Kramatorsk raion,48.7067,37.6302,POINT (37.6302 48.7067),199876,Ukraine,369,Europe,1,1,2014-04-16T00:00:00,2014-04-16T00:00:00,0,0,0,0,0,4,0,369,
149973,UKR-2014-1-14124-4,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,3,"""Agence France Presse,2014-04-20,Gunbattle in eastern Ukraine kills four: separatist leader"";""Agence France Presse,2014-04-20,Gunbattle in eastern Ukraine kills four: local leader"";""MemoryBook,2021-04-27,Bylbasovka""",Agence France Presse;Agence France Presse;MemoryBook,2014-04-20;2014-04-20;2021-04-27,Gunbattle in eastern Ukraine kills four: separatist leader;Gunbattle in eastern Ukraine kills four: local leader;Bylbasovka,"Vyatcheslav Ponomarev, local pro-Russian leader; MemoryBook",2,Bylbasovka village,near the village of Bylbasovka in the vicinity of Slavyansk,Donetsk oblast,Sloviansk raion,48.837342,37.500353,POINT (37.500353 48.837342),199876,Ukraine,369,Europe,1,1,2014-04-20T00:00:00,2014-04-20T00:00:00,1,3,0,0,4,4,4,369,
152957,UKR-2014-1-14124-5,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,10,"""Agence France Presse,2014-04-24,One killed in Ukraine army assault on rebel-held Slavyansk: officials"";""Agence France Presse,2014-04-24,'Up to five' rebels killed in Slavyansk: Ukraine ministry"";""Agence France Presse,2014-04-24,'Up to five' killed in Ukraine assault on rebel-held towns"";""Agence France Presse,2014-04-24,Up to 5 killed as Ukraine army attacks rebels in flashpoint town"";""Reuters News,2014-04-24,Ukraine forces kill several separatists in Slaviansk operation"";""Reuters News,2014-04-24,UPDATE 2-Ukraine forces say kill separatists in Slaviansk operation"";""Agence France Presse,2014-04-24,Ukraine launches deadly assault on rebel-held towns"";""ITAR-TASS World Service,2014-04-24,At least one killed as Kiev troops launch attack on Ukraine’s Slavyansk"";""Reuters News,2014-04-24,Reuters World News Summary"";""Voice of Russia,2015-04-24,Kiev resumes special operation in Slavyansk: 5 activists dead, one policeman injured""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Reuters News;Reuters News;Agence France Presse;ITAR-TASS World Service;Reuters News;Voice of Russia,2014-04-24;2014-04-24;2014-04-24;2014-04-24;2014-04-24;2014-04-24;2014-04-24;2014-04-24;2014-04-24;2015-04-24,"One killed in Ukraine army assault on rebel-held Slavyansk: officials;'Up to five' rebels killed in Slavyansk: Ukraine ministry;'Up to five' killed in Ukraine assault on rebel-held towns;Up to 5 killed as Ukraine army attacks rebels in flashpoint town;Ukraine forces kill several separatists in Slaviansk operation;UPDATE 2-Ukraine forces say kill separatists in Slaviansk operation;Ukraine launches deadly assault on rebel-held towns;At least one killed as Kiev troops launch attack on Ukraine’s Slavyansk;Reuters World News Summary;Kiev resumes special operation in Slavyansk: 5 activists dead, one policeman injured","medical authorities, rebels, Ukrainian army",1,Sloviansk town,"Sloviansk town, north-east of the center",Donetsk oblast,Sloviansk raion,48.853333,37.625,POINT (37.625 48.853333),199876,Ukraine,369,Europe,1,1,2014-04-24T00:00:00,2014-04-24T00:00:00,0,5,0,0,5,5,5,369,
153027,UKR-2014-1-14124-8,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,2,"""Agence France Presse,2014-05-02,Many rebels dead in Ukraine offensive: interim president"";""Agence France Presse,2014-05-02,3 rebels, 2 civilians killed in Ukraine assault on Slavyansk: insurgents""",Agence France Presse;Agence France Presse,2014-05-02;2014-05-02,"Many rebels dead in Ukraine offensive: interim president;3 rebels, 2 civilians killed in Ukraine assault on Slavyansk: insurgents","rebel spokesman, Ukraine's interim president",1,Sloviansk town,Slavyansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,POINT (37.625 48.853333),199876,Ukraine,369,Europe,1,1,2014-05-02T00:00:00,2014-05-02T00:00:00,0,3,2,0,5,5,5,369,
153030,UKR-2014-2-14113-1,2014,true,Clear,2,14113,13240,Supporters of independence for Eastern Ukraine - Supporters of Ukrainian unity,14113,14113,Supporters of independence for Eastern Ukraine - Supporters of Ukrainian unity,5837,5837,Supporters of independence for Eastern Ukraine,5836,5836,Supporters of Ukrainian unity,4,"""Agence France Presse,2014-05-02,Death toll from Odessa violence rises to 3: police"";""BBC,2014-05-06,How did Odessa's fire happen?"";""Office of the United Nations High Commissioner for Human Rights,2014-06-15,Report on the human rights situation in Ukraine 15 June 2014"";""Reuters News,2014-05-03,FACTBOX-Ukraine says groups from Moldova's Transdniestria stir unrest in Odessa""",Agence France Presse;BBC;Office of the United Nations High Commissioner for Human Rights;Reuters News,2014-05-02;2014-05-06;2014-06-15;2014-05-03,Death toll from Odessa violence rises to 3: police;How did Odessa's fire happen?;Report on the human rights situation in Ukraine 15 June 2014;FACTBOX-Ukraine says groups from Moldova's Transdniestria stir unrest in Odessa,Ukrainian authorities,1,Odessa town,Odessa town,Odessa oblast,Odessa City municipality,46.466667,30.733333,POINT (30.733333 46.466667),196262,Ukraine,369,Europe,1,1,2014-05-02T00:00:00,2014-05-02T00:00:00,0,0,0,45,45,45,45,,
153037,UKR-2014-1-14124-9.1,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,2,"""Agence France Presse,2014-05-02,Two Ukrainian soldiers die in renewed fighting near Slavyansk: Kiev"";""MemoryBook,2021-04-27,Andriivka""",Agence France Presse;MemoryBook,2014-05-02;2021-04-27,Two Ukrainian soldiers die in renewed fighting near Slavyansk: Kiev;Andriivka,Ukraine defence ministry; MemoryBook,2,Andreyevka village,near the village of Andreevka near Slavyansk,Donetsk oblast,Sloviansk raion,48.817931,37.551012,POINT (37.551012 48.817931),199876,Ukraine,369,Europe,1,1,2014-05-02T00:00:00,2014-05-02T00:00:00,1,0,0,0,1,1,1,369,
153143,UKR-2014-1-14124-10,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,3,"""Agence France Presse,2014-05-04,Ukraine expands 'anti-terrorism' op against pro-Russians"";""Agence France Presse,2014-05-04,Fierce battles in Ukraine; OSCE team freed"";""Agence France Presse,2014-05-04,Odessa violence flares anew as Kiev blames deaths on Russia""",Agence France Presse;Agence France Presse;Agence France Presse,2014-05-04;2014-05-04;2014-05-04,Ukraine expands 'anti-terrorism' op against pro-Russians;Fierce battles in Ukraine; OSCE team freed;Odessa violence flares anew as Kiev blames deaths on Russia,"AFP journalists on the ground, acting as eyewitnesses; media, Ukrainain authorities",2,Sloviansk town,outskirts of Slavyansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,POINT (37.625 48.853333),199876,Ukraine,369,Europe,1,1,2014-05-03T00:00:00,2014-05-03T00:00:00,5,0,0,5,10,10,10,369,
153149,UKR-2014-1-14124-11,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,1,"""ITAR-TASS World Service,2014-05-03,ITAR-TASS news digest for May 3""",ITAR-TASS World Service,2014-05-03,ITAR-TASS news digest for May 3,RIA Novosti,1,Andreyevka village,Andreyevka village,Donetsk oblast,Sloviansk raion,48.817931,37.551012,POINT (37.551012 48.817931),199876,Ukraine,369,Europe,1,1,2014-05-03T00:00:00,2014-05-03T00:00:00,0,0,0,0,0,10,0,369,
153151,UKR-2014-1-14184-0,2014,true,Clear,1,13247,13247,Ukraine: Lugansk,14184,14184,Government of Ukraine - LPR,61,61,Government of Ukraine,5839,5839,LPR,1,"""ITAR-TASS World Service,2014-05-04,Casualty toll climbs in Ukraine’s southeast as bloody clashes continue""",ITAR-TASS World Service,2014-05-04,Casualty toll climbs in Ukraine’s southeast as bloody clashes continue,"rebels, Russian media in Luhansk",1,Luhansk town,Luhansk town,Luhansk oblast,Luhansk City municipality,48.566667,39.3,POINT (39.3 48.566667),199879,Ukraine,369,Europe,1,1,2014-05-04T00:00:00,2014-05-04T00:00:00,0,1,0,0,1,1,1,369,
153154,UKR-2014-1-14124-12,2014,true,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,7,"""Agence France Presse,2014-05-05,Four Ukrainian troops killed in offensive on rebel-held town: officials"";""Reuters News,2014-05-05,UPDATE 2-Ukraine forces suffer casualties in Slaviansk clash-minister"";""Reuters News,2014-05-06,UPDATE 4-Ukraine moves forces to Odessa, helicopter downed in east"";""Agence France Presse,2014-05-06,Rebel toll from Slavyansk raid tops 30: interior minister"";""Reuters News,2014-05-06,Ukraine says more than 30 separatists killed in Slaviansk fighting"";""Agence France Presse,2014-05-08,With tears and anger, Slavyansk buries its dead"";""MemoryBook,2021-04-27,Sloviansk""",Agence France Presse;Reuters News;Reuters News;Agence France Presse;Reuters News;Agence France Presse;MemoryBook,2014-05-05;2014-05-05;2014-05-06;2014-05-06;2014-05-06;2014-05-08;2021-04-27,"Four Ukrainian troops killed in offensive on rebel-held town: officials;UPDATE 2-Ukraine forces suffer casualties in Slaviansk clash-minister;UPDATE 4-Ukraine moves forces to Odessa, helicopter downed in east;Rebel toll from Slavyansk raid tops 30: interior minister;Ukraine says more than 30 separatists killed in Slaviansk fighting;With tears and anger, Slavyansk buries its dead;Sloviansk","Ukraine Interior Minister Arsen Avakov, eyewitnesses (husband and sister of civilian killed in crossfire), rebel sources; MemoryBook",2,Sloviansk town,around Slavyansk town; near Slavyansk,Donetsk oblast,Sloviansk raion,48.853333,37.625,POINT (37.625 48.853333),199876,Ukraine,369,Europe,1,1,2014-05-05T00:00:00,2014-05-05T00:00:00,4,4,2,0,10,35,9,369,
